Id,ActivityDate,TotalSteps,TotalDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,PercentLightDistance,PercentModerateDistance,PercentVeryActiveDistance,TotalActiveMins,PercentLightlyActiveMins,PercentVeryActiveMins
1503960366,5/9/2016,12022,7.72,0,3.45,0.53,3.74,46,11,206,835,1819,48.45,6.87,44.69,263,78.33,17.49
1503960366,5/10/2016,12207,7.77,0,3.35,1.16,3.26,46,31,214,746,1859,41.96,14.93,43.11,291,73.54,15.81
1503960366,5/11/2016,12770,8.13,0,2.56,1.01,4.55,36,23,251,669,1783,55.97,12.42,31.49,310,80.97,11.61
1624580081,4/12/2016,8163,5.31,0,0.00,0.00,5.31,0,0,146,1294,1432,100.00,0.00,0.00,146,100.00,0.00
1624580081,4/13/2016,7007,4.55,0,0.00,0.00,4.55,0,0,148,1292,1411,100.00,0.00,0.00,148,100.00,0.00
1624580081,4/14/2016,9107,5.92,0,0.00,0.00,5.91,0,0,236,1204,1572,99.83,0.00,0.00,236,100.00,0.00
1624580081,4/15/2016,1510,0.98,0,0.00,0.00,0.97,0,0,96,1344,1344,98.98,0.00,0.00,96,100.00,0.00
1624580081,4/16/2016,5370,3.49,0,0.00,0.00,3.49,0,0,176,1264,1463,100.00,0.00,0.00,176,100.00,0.00
1624580081,4/17/2016,6175,4.06,0,1.03,1.52,1.49,15,22,127,1276,1554,36.70,37.44,25.37,164,77.44,9.15
1624580081,4/18/2016,10536,7.41,0,2.15,0.62,4.62,17,7,202,1214,1604,62.35,8.37,29.01,226,89.38,7.52
1624580081,4/19/2016,2916,1.90,0,0.00,0.00,1.90,0,0,141,1299,1435,100.00,0.00,0.00,141,100.00,0.00
1624580081,4/20/2016,4974,3.23,0,0.00,0.00,3.23,0,0,151,1289,1446,100.00,0.00,0.00,151,100.00,0.00
1624580081,4/21/2016,6349,4.13,0,0.00,0.00,4.11,0,0,186,1254,1467,99.52,0.00,0.00,186,100.00,0.00
1624580081,4/22/2016,4026,2.62,0,0.00,0.00,2.60,0,0,199,1241,1470,99.24,0.00,0.00,199,100.00,0.00
1624580081,4/23/2016,8538,5.55,0,0.00,0.00,5.54,0,0,227,1213,1562,99.82,0.00,0.00,227,100.00,0.00
1624580081,4/24/2016,6076,3.95,0,1.15,0.91,1.89,16,18,185,1221,1617,47.85,23.04,29.11,219,84.47,7.31
1624580081,4/25/2016,6497,4.22,0,0.00,0.00,4.20,0,0,202,1238,1492,99.53,0.00,0.00,202,100.00,0.00
1624580081,4/26/2016,2826,1.84,0,0.00,0.00,1.83,0,0,140,1300,1402,99.46,0.00,0.00,140,100.00,0.00
1624580081,4/27/2016,8367,5.44,0,1.11,1.87,2.46,17,36,154,1233,1670,45.22,34.37,20.40,207,74.40,8.21
1624580081,4/28/2016,2759,1.79,0,0.00,0.20,1.60,0,5,115,1320,1401,89.39,11.17,0.00,120,95.83,0.00
1624580081,4/29/2016,2390,1.55,0,0.00,0.00,1.55,0,0,150,1290,1404,100.00,0.00,0.00,150,100.00,0.00
1624580081,4/30/2016,6474,4.30,0,0.90,1.28,2.12,11,23,224,1182,1655,49.30,29.77,20.93,258,86.82,4.26
1624580081,5/1/2016,36019,28.03,0,21.92,4.19,1.91,186,63,171,1020,2690,6.81,14.95,78.20,420,40.71,44.29
1624580081,5/2/2016,7155,4.93,0,0.86,0.59,3.47,7,6,166,1261,1497,70.39,11.97,17.44,179,92.74,3.91
1624580081,5/3/2016,2100,1.37,0,0.00,0.00,1.34,0,0,96,1344,1334,97.81,0.00,0.00,96,100.00,0.00
1624580081,5/4/2016,2193,1.43,0,0.00,0.00,1.42,0,0,118,1322,1368,99.30,0.00,0.00,118,100.00,0.00
1624580081,5/5/2016,2470,1.61,0,0.00,0.00,1.58,0,0,117,1323,1370,98.14,0.00,0.00,117,100.00,0.00
1624580081,5/6/2016,1727,1.12,0,0.00,0.00,1.12,0,0,102,1338,1341,100.00,0.00,0.00,102,100.00,0.00
1624580081,5/7/2016,2104,1.37,0,0.00,0.00,1.37,0,0,182,1258,1474,100.00,0.00,0.00,182,100.00,0.00
1624580081,5/8/2016,3427,2.23,0,0.00,0.00,2.22,0,0,152,1288,1427,99.55,0.00,0.00,152,100.00,0.00
1624580081,5/9/2016,1732,1.13,0,0.00,0.00,1.13,0,0,91,1349,1328,100.00,0.00,0.00,91,100.00,0.00
1624580081,5/10/2016,2969,1.93,0,0.00,0.00,1.92,0,0,139,1301,1393,99.48,0.00,0.00,139,100.00,0.00
1624580081,5/11/2016,3134,2.04,0,0.00,0.00,2.04,0,0,112,1328,1359,100.00,0.00,0.00,112,100.00,0.00
1624580081,5/12/2016,2971,1.93,0,0.00,0.00,1.92,0,0,107,890,1002,99.48,0.00,0.00,107,100.00,0.00
1644430081,4/12/2016,10694,7.77,0,0.14,2.30,5.33,2,51,256,1131,3199,68.60,29.60,1.80,309,82.85,0.65
1644430081,4/13/2016,8001,5.82,0,2.28,0.90,2.64,30,16,135,1259,2902,45.36,15.46,39.18,181,74.59,16.57
1644430081,4/14/2016,11037,8.02,0,0.36,2.56,5.10,5,58,252,1125,3226,63.59,31.92,4.49,315,80.00,1.59
1644430081,4/15/2016,5263,3.83,0,0.22,0.15,3.45,3,4,170,1263,2750,90.08,3.92,5.74,177,96.05,1.69
1644430081,4/16/2016,15300,11.12,0,4.10,1.88,5.09,51,42,212,1135,3493,45.77,16.91,36.87,305,69.51,16.72
1644430081,4/17/2016,8757,6.37,0,2.25,0.57,3.55,29,13,186,1212,3011,55.73,8.95,35.32,228,81.58,12.72
1644430081,4/18/2016,7132,5.19,0,1.07,1.67,2.45,15,33,121,1271,2806,47.21,32.18,20.62,169,71.60,8.88
1644430081,4/19/2016,11256,8.18,0,0.36,2.53,5.30,5,58,278,1099,3300,64.79,30.93,4.40,341,81.52,1.47
1644430081,4/20/2016,2436,1.77,0,0.00,0.00,1.76,0,0,125,1315,2430,99.44,0.00,0.00,125,100.00,0.00
1644430081,4/21/2016,1223,0.89,0,0.00,0.00,0.88,0,0,38,1402,2140,98.88,0.00,0.00,38,100.00,0.00
1644430081,4/22/2016,3673,2.67,0,0.00,0.00,2.66,0,0,86,1354,2344,99.63,0.00,0.00,86,100.00,0.00
1644430081,4/23/2016,6637,4.83,0,0.00,0.58,4.25,0,15,160,1265,2677,87.99,12.01,0.00,175,91.43,0.00
1644430081,4/24/2016,3321,2.41,0,0.00,0.00,2.41,0,0,89,1351,2413,100.00,0.00,0.00,89,100.00,0.00
1644430081,4/25/2016,3580,2.60,0,0.59,0.06,1.95,8,1,94,1337,2497,75.00,2.31,22.69,103,91.26,7.77
1644430081,4/26/2016,9919,7.21,0,0.80,1.72,4.69,11,41,223,1165,3123,65.05,23.86,11.10,275,81.09,4.00
1644430081,4/27/2016,3032,2.20,0,0.00,0.00,2.20,0,0,118,1322,2489,100.00,0.00,0.00,118,100.00,0.00
1644430081,4/28/2016,9405,6.84,0,0.20,2.32,4.31,3,53,227,1157,3108,63.01,33.92,2.92,283,80.21,1.06
1644430081,4/29/2016,3176,2.31,0,0.00,0.00,2.31,0,0,120,1193,2498,100.00,0.00,0.00,120,100.00,0.00
1644430081,4/30/2016,18213,13.24,0,0.63,3.14,9.46,9,71,402,816,3846,71.45,23.72,4.76,482,83.40,1.87
1644430081,5/1/2016,6132,4.46,0,0.24,0.99,3.23,3,24,146,908,2696,72.42,22.20,5.38,173,84.39,1.73
1644430081,5/2/2016,3758,2.73,0,0.07,0.31,2.35,1,7,148,682,2580,86.08,11.36,2.56,156,94.87,0.64
1644430081,5/3/2016,12850,9.34,0,0.72,4.09,4.54,10,94,221,1115,3324,48.61,43.79,7.71,325,68.00,3.08
1644430081,5/4/2016,2309,1.68,0,0.00,0.00,1.66,0,0,52,1388,2222,98.81,0.00,0.00,52,100.00,0.00
1644430081,5/5/2016,4363,3.19,0,0.52,0.54,2.13,6,12,81,1341,2463,66.77,16.93,16.30,99,81.82,6.06
1644430081,5/6/2016,9787,7.12,0,0.82,0.27,6.01,11,6,369,1054,3328,84.41,3.79,11.52,386,95.60,2.85
1644430081,5/7/2016,13372,9.72,0,3.26,0.79,5.67,41,17,243,1139,3404,58.33,8.13,33.54,301,80.73,13.62
1644430081,5/8/2016,6724,4.89,0,0.00,0.00,4.88,0,0,295,991,2987,99.80,0.00,0.00,295,100.00,0.00
1644430081,5/9/2016,6643,4.83,0,2.39,0.35,2.09,32,6,303,1099,3008,43.27,7.25,49.48,341,88.86,9.38
1644430081,5/10/2016,9167,6.66,0,0.88,0.81,4.97,12,19,155,1254,2799,74.62,12.16,13.21,186,83.33,6.45
1644430081,5/11/2016,1329,0.97,0,0.00,0.00,0.95,0,0,49,713,1276,97.94,0.00,0.00,49,100.00,0.00
1844505072,4/12/2016,6697,4.43,0,0.00,0.00,4.43,0,0,339,1101,2030,100.00,0.00,0.00,339,100.00,0.00
1844505072,4/13/2016,4929,3.26,0,0.00,0.00,3.26,0,0,248,1192,1860,100.00,0.00,0.00,248,100.00,0.00
1844505072,4/14/2016,7937,5.25,0,0.00,0.00,5.23,0,0,373,843,2130,99.62,0.00,0.00,373,100.00,0.00
1844505072,4/15/2016,3844,2.54,0,0.00,0.00,2.54,0,0,176,527,1725,100.00,0.00,0.00,176,100.00,0.00
1844505072,4/16/2016,3414,2.26,0,0.00,0.00,2.26,0,0,147,1293,1657,100.00,0.00,0.00,147,100.00,0.00
1844505072,4/17/2016,4525,2.99,0,0.14,0.26,2.59,2,8,199,1231,1793,86.62,8.70,4.68,209,95.22,0.96
1844505072,4/18/2016,4597,3.04,0,0.00,0.48,2.56,0,12,217,1211,1814,84.21,15.79,0.00,229,94.76,0.00
1844505072,4/19/2016,197,0.13,0,0.00,0.00,0.13,0,0,10,1430,1366,100.00,0.00,0.00,10,100.00,0.00
1844505072,4/20/2016,8,0.01,0,0.00,0.00,0.01,0,0,1,1439,1349,100.00,0.00,0.00,1,100.00,0.00
1844505072,4/21/2016,8054,5.32,0,0.12,0.52,4.68,2,13,308,1117,2062,87.97,9.77,2.26,323,95.36,0.62
1844505072,4/22/2016,5372,3.55,0,0.00,0.00,3.55,0,0,220,1220,1827,100.00,0.00,0.00,220,100.00,0.00
1844505072,4/23/2016,3570,2.36,0,0.00,0.00,2.36,0,0,139,1301,1645,100.00,0.00,0.00,139,100.00,0.00
1844505072,4/28/2016,6907,4.57,0,0.00,0.00,4.56,0,0,302,1138,1992,99.78,0.00,0.00,302,100.00,0.00
1844505072,4/29/2016,4920,3.25,0,0.00,0.00,3.25,0,0,247,1082,1856,100.00,0.00,0.00,247,100.00,0.00
1844505072,4/30/2016,4014,2.67,0,0.00,0.00,2.65,0,0,184,218,1763,99.25,0.00,0.00,184,100.00,0.00
1844505072,5/1/2016,2573,1.70,0,0.00,0.26,1.45,0,7,75,585,1541,85.29,15.29,0.00,82,91.46,0.00
1844505072,5/3/2016,4059,2.68,0,0.00,0.00,2.68,0,0,184,1256,1742,100.00,0.00,0.00,184,100.00,0.00
1844505072,5/4/2016,2080,1.37,0,0.00,0.00,1.37,0,0,87,1353,1549,100.00,0.00,0.00,87,100.00,0.00
1844505072,5/5/2016,2237,1.48,0,0.00,0.00,1.48,0,0,120,1320,1589,100.00,0.00,0.00,120,100.00,0.00
1844505072,5/6/2016,44,0.03,0,0.00,0.00,0.03,0,0,2,1438,1351,100.00,0.00,0.00,2,100.00,0.00
1927972279,4/12/2016,678,0.47,0,0.00,0.00,0.47,0,0,55,734,2220,100.00,0.00,0.00,55,100.00,0.00
1927972279,4/13/2016,356,0.25,0,0.00,0.00,0.25,0,0,32,986,2151,100.00,0.00,0.00,32,100.00,0.00
1927972279,4/14/2016,2163,1.50,0,0.00,0.40,1.10,0,9,88,1292,2383,73.33,26.67,0.00,97,90.72,0.00
1927972279,4/15/2016,980,0.68,0,0.00,0.00,0.68,0,0,51,941,2221,100.00,0.00,0.00,51,100.00,0.00
1927972279,4/18/2016,244,0.17,0,0.00,0.00,0.17,0,0,17,1423,2111,100.00,0.00,0.00,17,100.00,0.00
1927972279,4/22/2016,149,0.10,0,0.00,0.00,0.10,0,0,10,1430,2093,100.00,0.00,0.00,10,100.00,0.00
1927972279,4/23/2016,2945,2.04,0,0.00,0.00,2.04,0,0,145,1295,2499,100.00,0.00,0.00,145,100.00,0.00
1927972279,4/24/2016,2090,1.45,0,0.07,0.24,1.14,1,6,75,1358,2324,78.62,16.55,4.83,82,91.46,1.22
1927972279,4/25/2016,152,0.11,0,0.00,0.00,0.11,0,0,12,1303,2100,100.00,0.00,0.00,12,100.00,0.00
1927972279,4/26/2016,3761,2.60,0,0.00,0.00,2.60,0,0,192,1058,2638,100.00,0.00,0.00,192,100.00,0.00
1927972279,4/28/2016,1675,1.16,0,0.00,0.00,1.16,0,0,95,1167,2351,100.00,0.00,0.00,95,100.00,0.00
1927972279,5/1/2016,2704,1.87,0,1.01,0.03,0.83,14,1,70,1355,2411,44.39,1.60,54.01,85,82.35,16.47
1927972279,5/2/2016,3790,2.62,0,1.16,0.30,1.16,16,8,94,1322,2505,44.27,11.45,44.27,118,79.66,13.56
1927972279,5/3/2016,1326,0.92,0,0.73,0.00,0.18,10,0,17,1413,2195,19.57,0.00,79.35,27,62.96,37.04
1927972279,5/4/2016,1786,1.24,0,0.00,0.00,1.24,0,0,87,1353,2338,100.00,0.00,0.00,87,100.00,0.00
1927972279,5/6/2016,2091,1.45,0,0.00,0.00,1.45,0,0,108,1332,2383,100.00,0.00,0.00,108,100.00,0.00
1927972279,5/7/2016,1510,1.04,0,0.00,0.00,1.04,0,0,48,1392,2229,100.00,0.00,0.00,48,100.00,0.00
2022484408,4/12/2016,11875,8.34,0,3.31,0.77,4.26,42,14,227,1157,2390,51.08,9.23,39.69,283,80.21,14.84
2022484408,4/13/2016,12024,8.50,0,2.99,0.10,5.41,43,5,292,1100,2601,63.65,1.18,35.18,340,85.88,12.65
2022484408,4/14/2016,10690,7.50,0,2.48,0.21,4.82,32,3,257,1148,2312,64.27,2.80,33.07,292,88.01,10.96
2022484408,4/15/2016,11034,8.03,0,1.94,0.31,5.78,27,9,282,1122,2525,71.98,3.86,24.16,318,88.68,8.49
2022484408,4/16/2016,10100,7.09,0,3.15,0.55,3.39,41,11,151,1237,2177,47.81,7.76,44.43,203,74.38,20.20
2022484408,4/17/2016,15112,11.40,0,3.87,0.66,6.88,28,29,331,1052,2782,60.35,5.79,33.95,388,85.31,7.22
2022484408,4/18/2016,14131,10.07,0,3.64,0.12,6.30,48,3,311,1078,2770,62.56,1.19,36.15,362,85.91,13.26
2022484408,4/19/2016,11548,8.53,0,3.29,0.24,5.00,31,7,250,1152,2489,58.62,2.81,38.57,288,86.81,10.76
2022484408,4/20/2016,15112,10.67,0,3.34,1.93,5.40,48,63,276,1053,2897,50.61,18.09,31.30,387,71.32,12.40
2022484408,4/21/2016,12453,8.74,0,3.33,1.11,4.31,104,53,255,1028,3158,49.31,12.70,38.10,412,61.89,25.24
2022484408,4/22/2016,12954,9.33,0,4.43,0.42,4.47,52,10,273,1105,2638,47.91,4.50,47.48,335,81.49,15.52
2022484408,4/23/2016,6001,4.21,0,0.00,0.00,4.21,0,0,249,1191,2069,100.00,0.00,0.00,249,100.00,0.00
2022484408,4/24/2016,13481,10.28,0,4.55,1.15,4.58,37,26,216,1161,2529,44.55,11.19,44.26,279,77.42,13.26
2022484408,4/25/2016,11369,8.01,0,3.33,0.22,4.46,44,8,217,1171,2470,55.68,2.75,41.57,269,80.67,16.36
2022484408,4/26/2016,10119,7.19,0,1.43,0.66,5.11,55,24,275,1086,2793,71.07,9.18,19.89,354,77.68,15.54
2022484408,4/27/2016,10159,7.13,0,1.04,0.97,5.12,19,20,282,1119,2463,71.81,13.60,14.59,321,87.85,5.92
2022484408,4/28/2016,10140,7.12,0,0.41,1.33,5.39,6,20,291,1123,2296,75.70,18.68,5.76,317,91.80,1.89
2022484408,4/29/2016,10245,7.19,0,0.48,1.21,5.50,21,40,281,1098,2611,76.50,16.83,6.68,342,82.16,6.14
2022484408,4/30/2016,18387,12.91,0,0.94,1.40,10.57,13,23,361,1043,2732,81.87,10.84,7.28,397,90.93,3.27
2022484408,5/1/2016,10538,7.40,0,1.94,0.96,4.50,25,28,245,1142,2380,60.81,12.97,26.22,298,82.21,8.39
2022484408,5/2/2016,10379,7.29,0,2.61,0.34,4.33,36,8,277,1119,2473,59.40,4.66,35.80,321,86.29,11.21
2022484408,5/3/2016,12183,8.74,0,3.99,0.46,4.28,72,14,250,1104,2752,48.97,5.26,45.65,336,74.40,21.43
2022484408,5/4/2016,11768,8.29,0,2.51,0.93,4.85,36,27,272,1105,2649,58.50,11.22,30.28,335,81.19,10.75
2022484408,5/5/2016,11895,8.35,0,2.79,0.86,4.70,55,20,253,1112,2609,56.29,10.30,33.41,328,77.13,16.77
2022484408,5/6/2016,10227,7.18,0,1.87,0.67,4.64,24,17,295,1104,2498,64.62,9.33,26.04,336,87.80,7.14
2022484408,5/7/2016,6708,4.71,0,1.61,0.08,3.02,20,2,149,1269,1995,64.12,1.70,34.18,171,87.13,11.70
2022484408,5/8/2016,3292,2.31,0,0.00,0.00,2.31,0,0,135,1305,1848,100.00,0.00,0.00,135,100.00,0.00
2022484408,5/9/2016,13379,9.39,0,2.12,1.63,5.64,35,47,297,1061,2709,60.06,17.36,22.58,379,78.36,9.23
2022484408,5/10/2016,12798,8.98,0,2.22,1.21,5.56,57,28,271,1084,2797,61.92,13.47,24.72,356,76.12,16.01
2022484408,5/11/2016,13272,9.32,0,4.18,1.15,3.99,58,25,224,1133,2544,42.81,12.34,44.85,307,72.96,18.89
2022484408,5/12/2016,9117,6.41,0,1.28,0.67,4.44,16,16,236,728,1853,69.27,10.45,19.97,268,88.06,5.97
2026352035,4/12/2016,4414,2.74,0,0.19,0.35,2.20,3,8,181,706,1459,80.29,12.77,6.93,192,94.27,1.56
2026352035,4/13/2016,4993,3.10,0,0.00,0.00,3.10,0,0,238,663,1521,100.00,0.00,0.00,238,100.00,0.00
2026352035,4/14/2016,3335,2.07,0,0.00,0.00,2.05,0,0,197,653,1431,99.03,0.00,0.00,197,100.00,0.00
2026352035,4/15/2016,3821,2.37,0,0.00,0.00,2.37,0,0,188,687,1444,100.00,0.00,0.00,188,100.00,0.00
2026352035,4/16/2016,2547,1.58,0,0.00,0.00,1.58,0,0,150,728,1373,100.00,0.00,0.00,150,100.00,0.00
2026352035,4/17/2016,838,0.52,0,0.00,0.00,0.52,0,0,60,1053,1214,100.00,0.00,0.00,60,100.00,0.00
2026352035,4/18/2016,3325,2.06,0,0.00,0.00,2.06,0,0,182,1062,1419,100.00,0.00,0.00,182,100.00,0.00
2026352035,4/19/2016,2424,1.50,0,0.00,0.00,1.50,0,0,141,785,1356,100.00,0.00,0.00,141,100.00,0.00
2026352035,4/20/2016,7222,4.48,0,0.00,0.00,4.48,0,0,327,623,1667,100.00,0.00,0.00,327,100.00,0.00
2026352035,4/21/2016,2467,1.53,0,0.00,0.00,1.53,0,0,153,749,1370,100.00,0.00,0.00,153,100.00,0.00
2026352035,4/22/2016,2915,1.81,0,0.00,0.00,1.81,0,0,162,712,1399,100.00,0.00,0.00,162,100.00,0.00
2026352035,4/23/2016,12357,7.71,0,0.00,0.00,7.71,0,0,432,458,1916,100.00,0.00,0.00,432,100.00,0.00
2026352035,4/24/2016,3490,2.16,0,0.00,0.00,2.16,0,0,164,704,1401,100.00,0.00,0.00,164,100.00,0.00
2026352035,4/25/2016,6017,3.73,0,0.00,0.00,3.73,0,0,260,821,1576,100.00,0.00,0.00,260,100.00,0.00
2026352035,4/26/2016,5933,3.68,0,0.00,0.00,3.68,0,0,288,1018,1595,100.00,0.00,0.00,288,100.00,0.00
2026352035,4/27/2016,6088,3.77,0,0.00,0.00,3.77,0,0,286,586,1593,100.00,0.00,0.00,286,100.00,0.00
2026352035,4/28/2016,6375,3.95,0,0.00,0.00,3.95,0,0,331,626,1649,100.00,0.00,0.00,331,100.00,0.00
2026352035,4/29/2016,7604,4.71,0,0.00,0.00,4.71,0,0,352,492,1692,100.00,0.00,0.00,352,100.00,0.00
2026352035,4/30/2016,4729,2.93,0,0.00,0.00,2.93,0,0,233,594,1506,100.00,0.00,0.00,233,100.00,0.00
2026352035,5/1/2016,3609,2.28,0,0.00,0.00,2.28,0,0,191,716,1447,100.00,0.00,0.00,191,100.00,0.00
2026352035,5/2/2016,7018,4.35,0,0.00,0.00,4.35,0,0,355,716,1690,100.00,0.00,0.00,355,100.00,0.00
2026352035,5/3/2016,5992,3.72,0,0.00,0.00,3.72,0,0,304,981,1604,100.00,0.00,0.00,304,100.00,0.00
2026352035,5/4/2016,6564,4.07,0,0.00,0.00,4.07,0,0,345,530,1658,100.00,0.00,0.00,345,100.00,0.00
2026352035,5/5/2016,12167,7.54,0,0.00,0.00,7.54,0,0,475,479,1926,100.00,0.00,0.00,475,100.00,0.00
2026352035,5/6/2016,8198,5.08,0,0.00,0.00,5.08,0,0,383,511,1736,100.00,0.00,0.00,383,100.00,0.00
2026352035,5/7/2016,4193,2.60,0,0.00,0.00,2.60,0,0,229,665,1491,100.00,0.00,0.00,229,100.00,0.00
2026352035,5/8/2016,5528,3.45,0,0.00,0.00,3.45,0,0,258,610,1555,100.00,0.00,0.00,258,100.00,0.00
2026352035,5/9/2016,10685,6.62,0,0.00,0.00,6.60,0,0,401,543,1869,99.70,0.00,0.00,401,100.00,0.00
2026352035,5/10/2016,254,0.16,0,0.00,0.00,0.16,0,0,17,1002,1141,100.00,0.00,0.00,17,100.00,0.00
2026352035,5/11/2016,8580,5.32,0,0.00,0.00,5.32,0,0,330,569,1698,100.00,0.00,0.00,330,100.00,0.00
2026352035,5/12/2016,8891,5.51,0,0.00,0.00,5.51,0,0,343,330,1364,100.00,0.00,0.00,343,100.00,0.00
2320127002,4/12/2016,10725,7.49,0,1.17,0.31,6.01,13,9,306,1112,2124,80.24,4.14,15.62,328,93.29,3.96
2320127002,4/13/2016,7275,4.90,0,0.00,0.00,4.90,0,0,335,1105,2003,100.00,0.00,0.00,335,100.00,0.00
2320127002,4/14/2016,3973,2.68,0,0.00,0.00,2.68,0,0,191,1249,1696,100.00,0.00,0.00,191,100.00,0.00
2320127002,4/15/2016,5205,3.51,0,0.00,0.00,3.51,0,0,245,1195,1801,100.00,0.00,0.00,245,100.00,0.00
2320127002,4/16/2016,5057,3.41,0,0.00,0.00,3.40,0,0,195,1245,1724,99.71,0.00,0.00,195,100.00,0.00
2320127002,4/17/2016,6198,4.18,0,0.00,0.00,4.18,0,0,249,1191,1852,100.00,0.00,0.00,249,100.00,0.00
2320127002,4/18/2016,6559,4.42,0,0.00,0.26,4.14,0,7,260,1173,1905,93.67,5.88,0.00,267,97.38,0.00
2320127002,4/19/2016,5997,4.04,0,0.00,0.38,3.66,0,11,228,1201,1811,90.59,9.41,0.00,239,95.40,0.00
2320127002,4/20/2016,7192,4.85,0,0.00,0.49,4.34,0,11,283,1146,1922,89.48,10.10,0.00,294,96.26,0.00
2320127002,4/21/2016,3404,2.29,0,0.06,0.42,1.81,1,10,127,1302,1610,79.04,18.34,2.62,138,92.03,0.72
2320127002,4/22/2016,5583,3.76,0,0.00,0.00,3.76,0,0,266,1174,1851,100.00,0.00,0.00,266,100.00,0.00
2320127002,4/23/2016,5079,3.42,0,0.00,0.00,3.42,0,0,242,1129,1804,100.00,0.00,0.00,242,100.00,0.00
2320127002,4/24/2016,4165,2.81,0,0.00,0.00,2.80,0,0,204,1236,1725,99.64,0.00,0.00,204,100.00,0.00
2320127002,4/25/2016,3588,2.42,0,0.23,0.20,1.99,3,5,152,1280,1654,82.23,8.26,9.50,160,95.00,1.88
